concept,members,concept_rows,decision,kind,numbered_variant,metric_id,rows,unit,handbook_text,example_context
provisions,1,678,,SINGLE,,provisions__inr,678,INR,PROVISIONS (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
capital share,1,677,,SINGLE,,share_capital__inr,677,INR,SHARE CAPITAL (₹Crore),Balance Sheet|General / Balance Sheet|Shareholders’ Funds
assets fixed,1,673,,SINGLE,,fixed_assets__inr,673,INR,FIXED ASSETS (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
capital equity share,1,652,,SINGLE,,equity_share_capital__inr,652,INR,Equity Share Capital (₹Crore),General (All Segments)|All Classes / Life|All Classes
reserves surplus,1,625,,SINGLE,,reserves_and_surplus__inr,625,INR,RESERVES AND SURPLUS (₹Crore),Balance Sheet|General / Balance Sheet|Shareholders’ Funds
lives no,1,608,,SINGLE,,no_of_lives__count,608,COUNT,No. of Lives (Nos.),Group Death Claims|Claims Repudiated / Group Death Claims|Claims Uncla
during reported year,1,595,,SINGLE,,reported_during_the_year__count,595,COUNT,Reported during the year (Nos.),Grievances (General & Health)|General / Grievances (Life)|General
loans,1,578,,SINGLE,,loans__inr,578,INR,LOANS (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
provision taxation,1,567,,SINGLE,,provision_for_taxation__inr,567,INR,Provision for Taxation (₹Crore),Shareholders Account|General / Shareholders Account|Income From Invest
borrowings,1,517,,SINGLE,,borrowings__inr,517,INR,BORROWINGS (₹Crore),Balance Sheet|General / Balance Sheet|Shareholders’ Funds
approved investments,1,514,,SINGLE,,approved_investments__inr,514,INR,Approved Investments (₹Crore),AUM — Insurer-wise (Investments)|Life Fund / AUM — Insurer-wise (Inves
c d total,1,502,,SINGLE,,total_c_d,502,UNKNOWN,Total (c+d),Linked Premium|All Classes / Non-Linked Premium|All Classes
b business new,1,500,,SINGLE,,new_business_a_b,500,UNKNOWN,New Business (a+b),Linked Premium|All Classes / Non-Linked Premium|All Classes
single,1,496,,SINGLE,,single__inr,496,INR,Single (₹Crore),Linked Premium|All Classes / Non-Linked Premium|All Classes
first year,1,495,,SINGLE,,first_year__inr,495,INR,First Year (₹Crore),Linked Premium|All Classes / Non-Linked Premium|All Classes
renewal,1,495,,SINGLE,,renewal__inr,495,INR,Renewal (₹Crore),Linked Premium|All Classes / Non-Linked Premium|All Classes
dividends gross interest rent,1,483,,SINGLE,,a_interest_dividends_rent_gross__inr,483,INR,"(a) Interest, Dividends & Rent – Gross (₹Lakh)",Policyholders Account|Premiums earned – net / Shareholders Account|Inc
investments profit redemption sale,1,479,,SINGLE,,b_profit_on_sale_redemption_of_investments__inr,479,INR,(b) Profit on sale/redemption of investments (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
commission total,1,478,,SINGLE,,to_total_commission__inr,478,INR,% to Total Commission (₹Crore),Traditional Plans|All Classes / Unit Linked Plans|All Classes
achieved,1,468,,SINGLE,,achieved__percent,468,PERCENT,Achieved (Per cent),Rural Sector Obligations|All Classes / Social Sector Obligations|All C
target,1,467,,SINGLE,,target__percent,467,PERCENT,Target (Per cent),Rural Sector Obligations|All Classes / Social Sector Obligations|All C
expenditure extent miscellaneous not off or writ,1,441,,SINGLE,,miscellaneous_expenditure_to_the_extent_not_written_off_or_a__inr,441,INR,MISCELLANEOUS EXPENDITURE (to the extent not written off or adjusted) ,Balance Sheet|General / Balance Sheet|Policyholders’ Funds
after profit tax,1,438,,SINGLE,,profit_after_tax__inr,438,INR,Profit after Tax (₹Crore),Shareholders Account|General
before profit tax,1,438,,SINGLE,,profit_before_tax__inr,438,INR,Profit Before Tax (₹Crore),Shareholders Account|General
loss operating profit,1,437,,SINGLE,,operating_profit_loss__inr,437,INR,OPERATING PROFIT/(LOSS) (₹Crore),Shareholders Account|General
balance balance carried forward sheet,1,433,,SINGLE,,balance_carried_forward_to_balance_sheet__inr,433,INR,Balance carried forward to Balance Sheet (₹Crore),Shareholders Account|General
investments loss redemption sale,1,430,,SINGLE,,c_loss_on_sale_redemption_of_investments__inr,430,INR,(c) (Loss on sale/ redemption of investments) (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
fire insurance,1,427,,SINGLE,,a_fire_insurance__inr,427,INR,(a) Fire Insurance (₹Crore),Shareholders Account|General
insurance marine,1,425,,SINGLE,,b_marine_insurance__inr,425,INR,(b) Marine Insurance (₹Crore),Shareholders Account|General
business expenses insurance other related than t,1,423,,SINGLE,,a_expenses_other_than_those_related_to_insurance_business__inr,423,INR,(a) Expenses other than those related to Insurance Business (₹Crore),Shareholders Account|General
investments,1,420,,SINGLE,,investments__inr,420,INR,INVESTMENTS (₹Crore),Balance Sheet|General / Balance Sheet|Sources Of Funds
central government securities,1,419,,SINGLE,,central_government_securities__inr,419,INR,Central Government Securities (₹Crore),AUM — Insurer-wise (Investments)|Life Fund / AUM — Insurer-wise (Inves
investments other,1,416,,SINGLE,,other_investments__inr,416,INR,Other Investments (₹Crore),AUM — Insurer-wise (Investments)|Life Fund / AUM — Insurer-wise (Inves
balance brought forward from last loss profit ye,1,415,,SINGLE,,balance_of_profit_loss_brought_forward_from_last_year__inr,415,INR,Balance of profit/ loss brought forward from last year (₹Crore),Shareholders Account|General
investments profit sale,1,396,,SINGLE,,b_profit_on_sale_of_investments__inr,396,INR,(b) Profit on sale of investments (₹Crore),Shareholders Account|General
investments less loss sale,1,380,,SINGLE,,less_loss_on_sale_of_investments__inr,380,INR,Less: Loss on sale of investments (₹Crore),Shareholders Account|General
asset deferred liability tax,1,379,,SINGLE,,deferred_tax_asset_liability__inr,379,INR,DEFERRED TAX ASSET/(LIABILITY) (₹Crore),Balance Sheet|General / Balance Sheet|Sources Of Funds
debts doubtful,1,378,,SINGLE,,b_for_doubtful_debts__inr,378,INR,(b) For doubtful debts (₹Crore),Shareholders Account|General
diminution investments value,1,377,,SINGLE,,a_for_diminution_in_the_value_of_investments__inr,377,INR,(a) For diminution in the value of investments (₹Crore),Shareholders Account|General
policies,1,364,,SINGLE,,policies__count,364,COUNT,Policies (Nos.),Life Individual New Business by Channel (2024-25)|Brokers / Life Indiv
during resolved year,1,359,,SINGLE,,resolved_during_the_year__count,359,COUNT,Resolved during the year (Nos.),Grievances (General & Health)|General / Grievances (Life)|General
loss profit underwriting,1,357,,SINGLE,,underwriting_profit_loss__inr,357,INR,Underwriting Profit/Loss (₹Crore),General (All Segments)|All Classes / Reinsurance|All Classes
commission expenses management,1,356,,SINGLE,,commission_expenses_of_management__inr,356,INR,"Commission, Expenses of Management (₹Crore)",General (All Segments)|All Classes / Reinsurance|All Classes
balance opening,1,353,,SINGLE,,opening_balance__count,353,COUNT,Opening Balance (Nos.),Grievances (General & Health)|General
direct gross india outside premium within,1,345,,SINGLE,,gross_direct_premium_within_and_outside_india__inr,345,INR,Gross Direct Premium (Within And Outside India) (₹Crore),General (All Segments)|All Classes
account balance debit loss profit,1,342,,SINGLE,,debit_balance_in_profit_and_loss_account__inr,342,INR,DEBIT BALANCE IN PROFIT AND LOSS ACCOUNT (₹Crore),Balance Sheet|General / Balance Sheet|Sources Of Funds
accounts any or other reserves transfer,1,338,,SINGLE,,d_transfer_to_any_reserves_or_other_accounts__inr,338,INR,(d) Transfer to any Reserves or Other Accounts (₹Crore),Shareholders Account|General
3 months,1,331,,SINGLE,,3_months__count,331,COUNT,< 3 months (Nos.),Group Death Claims|Break up of claims pending -- duration wise (Polici
diminution investments net value,1,321,,SINGLE,,a_for_diminution_in_the_value_of_investments_net__inr,321,INR,(a) For diminution in the value of investments (Net) (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
approved government other securities state,1,319,,SINGLE,,state_government_other_approved_securities__inr,319,INR,State Government & Other Approved Securities (₹Crore),AUM — Insurer-wise (Investments)|Life Fund / Investments (AUM) by Inst
complaints duplicate,1,297,,SINGLE,,duplicate_complaints__count,297,COUNT,Duplicate Complaints (Nos.),Grievances (General & Health)|General / Grievances (Life)|General
agents individual number,1,296,,SINGLE,,number_of_individual_agents__count,296,COUNT,Number Of Individual Agents,Life|All Classes
agents corporate number,1,295,,SINGLE,,number_of_corporate_agents__count,295,COUNT,Number Of Corporate Agents,Life|All Classes
agents insurance life micro number,1,295,,SINGLE,,number_of_micro_insurance_agents_life__count,295,COUNT,Number Of Micro Insurance Agents (Life),Life|All Classes
claims total,1,284,,SINGLE,YES,total_claims_2__inr,284,INR,Total Claims (2) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
3 months within,1,283,,SINGLE,,within_3_months__inr,283,INR,Within 3 months (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh) / Micro-In
premium total,1,270,,SINGLE,,total_premium__inr,270,INR,Total Premium (₹Crore),Life|All Classes
metro,1,267,,SINGLE,,metro__count,267,COUNT,Metro (Nos.),Offices by Region|General
urban,1,267,,SINGLE,,urban__count,267,COUNT,Urban (Nos.),Offices by Region|General
adjustments period prior,1,263,,SINGLE,,prior_period_adjustments__inr,263,INR,Prior Period Adjustments (₹Crore),Shareholders Account|General
application money share,1,257,,SINGLE,,share_application_money__inr,257,INR,SHARE APPLICATION MONEY (₹Crore),Balance Sheet|General / Balance Sheet|Sources Of Funds
amortization discount investments premium,1,255,,SINGLE,,e_amortization_of_premium_discount_on_investments__inr,255,INR,(e) Amortization of Premium/Discount on Investments (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
o s start year,1,243,,SINGLE,,o_s_at_the_start_of_the_year__count,243,COUNT,O/S at the start of the year (Nos.),Grievances (Life)|General
policyholders,1,243,,SINGLE,,policyholders__inr,243,INR,Policyholders’ (₹Lakh),Balance Sheet|Policyholders’ Funds
semi urban,1,243,,SINGLE,,semi_urban__count,243,COUNT,Semi Urban (Nos.),Offices by Region|General
shareholders,1,243,,SINGLE,,shareholders__inr,243,INR,Shareholders’ (₹Lakh),Balance Sheet|Policyholders’ Funds
account amounts from policyholders technical tra,1,242,,SINGLE,,amounts_transferred_from_the_policyholders_account_technical__inr,242,INR,Amounts transferred from the Policyholders Account (Technical Account),Shareholders Account|General
after loss profit tax,1,242,,SINGLE,,profit_loss_after_tax__inr,242,INR,Profit / (Loss) after tax (₹Lakh),Shareholders Account|Income From Investments
appropriations available surplus,1,242,,SINGLE,,surplus_available_for_appropriations__inr,242,INR,Surplus available for appropriations (₹Lakh),Policyholders Account|Premiums earned – net
balance carried profit sheet,1,242,,SINGLE,,profit_carried_to_the_balance_sheet__inr,242,INR,Profit carried to the Balance Sheet (₹Lakh),Shareholders Account|Income From Investments
before loss profit tax,1,242,,SINGLE,,profit_loss_before_tax__inr,242,INR,Profit/ (Loss) before tax (₹Lakh),Shareholders Account|Income From Investments
commission traditional,1,242,,SINGLE,,traditional_commission__inr,242,INR,Traditional Commission (₹Crore),Traditional Plans|All Classes
directly expenses insurance other related than t,1,242,,SINGLE,,expenses_other_than_those_directly_related_to_the_insurance___inr,242,INR,Expenses other than those directly related to the insurance business (,Shareholders Account|Income From Investments
premium traditional,1,242,,SINGLE,,to_traditional_premium__inr,242,INR,% to Traditional Premium (₹Crore),Traditional Plans|All Classes
rural,1,242,,SINGLE,,rural__count,242,COUNT,Rural (Nos.),Offices by Region|General
benefits net paid,1,241,,SINGLE,,benefits_paid_net__inr,241,INR,Benefits Paid (Net) (₹Lakh),Policyholders Account|Premiums earned – net
gross,1,241,,SINGLE,,a_gross__inr,241,INR,(a) Gross (₹Lakh),Policyholders Account|Premiums earned – net
liabilities policy,1,241,,SINGLE,,policy_liabilities__inr,241,INR,Policy Liabilities (₹Lakh),Balance Sheet|Policyholders’ Funds
ceded reinsurance,1,240,,SINGLE,,b_reinsurance_ceded__inr,240,INR,(b) Reinsurance ceded (₹Lakh),Policyholders Account|Premiums earned – net
d total,1,240,,SINGLE,,total_d__inr,240,INR,TOTAL (D) (₹Lakh),Policyholders Account|Premiums earned – net
assets cover held liabilities linked,1,237,,SINGLE,,assets_held_to_cover_linked_liabilities__inr,237,INR,Assets Held to Cover Linked Liabilities (₹Lakh),Balance Sheet|Policyholders’ Funds
liabilities linked provision,1,237,,SINGLE,,provision_for_linked_liabilities__inr,237,INR,Provision for Linked Liabilities (₹Lakh),Balance Sheet|Policyholders’ Funds
13th month,1,236,,SINGLE,,13th_month__percent,236,PERCENT,13th Month (Per cent),Persistency|General
attended during year,1,236,,SINGLE,,attended_to_during_the_year__count,236,COUNT,Attended to during the year (Nos.),Grievances (General & Health)|General
commission ulip,1,236,,SINGLE,,ulip_commission__inr,236,INR,ULIP Commission (₹Crore),Unit Linked Plans|All Classes
premium ulip,1,236,,SINGLE,,to_ulip_premium__inr,236,INR,% to ULIP Premium (₹Crore),Unit Linked Plans|All Classes
appropriations funds future,1,235,,SINGLE,,funds_for_future_appropriations__inr,235,INR,Funds for Future Appropriations (₹Lakh),Balance Sheet|Policyholders’ Funds
change fair gain revaluation transfer value,1,235,,SINGLE,,d_transfer_gain_on_revaluation_change_in_fair_value__inr,235,INR,(d) Transfer/Gain on revaluation/change in fair value (₹Lakh),Policyholders Account|Premiums earned – net / Shareholders Account|Inc
000s number policies,1,234,,SINGLE,,number_of_policies_in_000s__count,234,COUNT,Number of policies in '000s (Nos.),Lapsed / Forfeited Policies (Non-Linked)|General
25th month,1,234,,SINGLE,,25th_month__percent,234,PERCENT,25th Month (Per cent),Persistency|General
37th month,1,234,,SINGLE,,37th_month__percent,234,PERCENT,37th Month (Per cent),Persistency|General
49th month,1,234,,SINGLE,,49th_month__percent,234,PERCENT,49th Month (Per cent),Persistency|General
assured crore sum,1,234,,SINGLE,,sum_assured_crore__count,234,COUNT,Sum Assured (₹Crore) ('000s),Lapsed / Forfeited Policies (Non-Linked)|General
based cent lapse number per policies ratio,1,234,,SINGLE,,lapse_ratio_per_cent_based_on_number_of_policies__count,234,COUNT,Lapse Ratio (Per cent) (Based on number of policies) (Nos.),Lapsed / Forfeited Policies (Non-Linked)|General
61th month,1,233,,SINGLE,,61th_month__percent,233,PERCENT,61th Month (Per cent),Persistency|General
discontinued fund policy,1,231,,SINGLE,,fund_for_discontinued_policy__inr,231,INR,Fund for Discontinued Policy (₹Lakh),Balance Sheet|Policyholders’ Funds
account contribution policyholders,1,230,,SINGLE,,contribution_to_policyholders_account__inr,230,INR,Contribution to Policyholders Account (₹Lakh),Shareholders Account|Income From Investments
charges linked service tax unit,1,226,,SINGLE,,service_tax_on_unit_linked_charges__inr,226,INR,Service Tax on Unit Linked Charges (₹Lakh),Policyholders Account|Premiums earned – net
account from shareholders transfer,1,223,,SINGLE,,transfer_from_shareholders_account__inr,223,INR,Transfer from Shareholders' Account (₹Lakh),Policyholders Account|Premiums earned – net
infrastructure investments,1,222,,SINGLE,,infrastructure_investments__inr,222,INR,Infrastructure Investments (₹Crore),Investments (AUM) by Instrument|General
ffe government housing housing loans state,1,221,,SINGLE,,housing_loans_to_state_government_for_housing_and_ffe__inr,221,INR,Housing & Loans to State Government for Housing and FFE (₹Crore),Investments (AUM) by Instrument|General
appropriations balance being funds future policy,1,215,,SINGLE,,balance_being_funds_for_future_appropriations_policyholders__inr,215,INR,Balance being funds for future appropriations-Policyholders (₹Lakh),Policyholders Account|Premiums earned – net
bonuses interim paid,1,205,,SINGLE,,interim_bonuses_paid__inr,205,INR,Interim Bonuses Paid (₹Lakh),Policyholders Account|Premiums earned – net
actual complaints,1,203,,SINGLE,,actual_complaints__count,203,COUNT,Actual Complaints (Nos.),Grievances (General & Health)|General
amount ceded reinsurance,1,187,,SINGLE,,b_amount_ceded_in_reinsurance__inr,187,INR,(b) Amount ceded in Reinsurance (₹Lakh),Policyholders Account|Premiums earned – net
allotment application money pending share,1,178,,SINGLE,,share_application_money_pending_allotment__inr,178,INR,Share Application Money Pending Allotment (₹Lakh),Balance Sheet|Shareholders’ Funds
insurance reserves,1,164,,SINGLE,,insurance_reserves__inr,164,INR,Insurance Reserves (₹Lakh),Balance Sheet|Policyholders’ Funds
booked claims during intimated period,1,162,,SINGLE,,claims_intimated_booked_during_the_period__count,162,COUNT,Claims intimated/ booked during the period (Nos.),Status of Claims|Number of Claims
claims during paid period,1,162,,SINGLE,,claims_paid_during_the_period__count,162,COUNT,Claims paid during the period (Nos.),Status of Claims|Number of Claims
claims during period repudiated,1,162,,SINGLE,,claims_repudiated_during_the_period__count,162,COUNT,Claims repudiated during the period (Nos.),Status of Claims|Number of Claims
claims end o period s,1,162,,SINGLE,,claims_o_s_at_the_end_of_period__count,162,COUNT,Claims O/S at the end of period (Nos.),Status of Claims|Number of Claims
claims o period s start,1,162,,SINGLE,,claims_o_s_at_start_of_the_period__count,162,COUNT,Claims O/S at start of the period (Nos.),Status of Claims|Number of Claims
1 3 year years,1,159,,SINGLE,,1_year_to_3_years__count,159,COUNT,1 year to <3 years* (Nos.),Status of Claims|Age Analysis of Number of Claims Paid (%)
3 6 months months,1,159,,SINGLE,,3_months_to_6_months__count,159,COUNT,3 months to 6 months (Nos.),Status of Claims|Age Analysis of Number of Claims Paid (%)
1 6 months year,1,158,,SINGLE,,6_months_to_1_year__count,158,COUNT,6 months to <1 year (Nos.),Status of Claims|Age Analysis of Number of Claims Paid (%)
3 5 years years,1,158,,SINGLE,,3_years_to_5_years__count,158,COUNT,3 years to <5 years** (Nos.),Status of Claims|Age Analysis of Number of Claims Paid (%)
3 6 months,1,156,,SINGLE,,3_6_months__count,156,COUNT,3 - < 6 months (Nos.),Group Death Claims|Break up of claims pending -- duration wise (Polici
asset deferred tax,1,156,,SINGLE,,deferred_tax_asset__inr,156,INR,Deferred Tax Asset (₹Lakh),Balance Sheet|Policyholders’ Funds
5 years,1,155,,SINGLE,,5_years__count,155,COUNT,≥ 5 years (Nos.),Status of Claims|Age Analysis of Number of Claims Paid (%)
1 6 yr,1,154,,SINGLE,,6_1_yr__count,154,COUNT,6 - <1 yr (Nos.),Group Death Claims|Break up of claims pending -- duration wise (Polici
1 yr,1,147,,SINGLE,,1_yr__count,147,COUNT,> 1 yr (Nos.),Group Death Claims|Break up of claims pending -- duration wise (Polici
accounts other reserves transfer,1,146,,SINGLE,,e_transfer_to_reserves_other_accounts__inr,146,INR,(e) Transfer to reserves/ other accounts (₹Lakh),Shareholders Account|Income From Investments
claims closed during period,1,144,,SINGLE,,claims_closed_during_the_period__count,144,COUNT,Claims closed during the period (Nos.),Status of Claims|Number of Claims
assigned branches capital capital equity foreign,1,143,,SINGLE,,equity_share_capital_assigned_capital_of_branches_of_foreign__inr,143,INR,Equity Share Capital /Assigned Capital Of Branches Of Foreign Reinsure,Reinsurance|All Classes
fund fund linked reserve transfer,1,137,,SINGLE,,d_transfer_to_linked_fund_fund_reserve__inr,137,INR,(d) Transfer to Linked Fund (Fund Reserve) (₹Lakh),Policyholders Account|Premiums earned – net
account account balance debit loss profit shareh,1,130,,SINGLE,,debit_balance_in_profit_loss_account_shareholders_account__inr,130,INR,Debit Balance In Profit & Loss Account (Shareholders’ Account) (₹Lakh),Balance Sheet|Policyholders’ Funds
discontinued fund policies,1,124,,SINGLE,,e_fund_for_discontinued_policies__inr,124,INR,(e) Fund for discontinued policies (₹Lakh),Policyholders Account|Premiums earned – net
provision tax,1,113,,SINGLE,,provision_for_tax__inr,113,INR,Provision for Tax (₹Lakh),Policyholders Account|Premiums earned – net
accepted premium reinsurance,1,107,,SINGLE,,premium_on_reinsurance_accepted__inr,107,INR,Premium on Reinsurance accepted (₹Crore),Reinsurance Premium Schedule|General
net premium written,1,107,,SINGLE,,net_written_premium__inr,107,INR,Net Written Premium (₹Crore),Reinsurance Premium Schedule|General
ceded premium reinsurance,1,106,,SINGLE,,premium_on_reinsurance_ceded__inr,106,INR,Premium on Reinsurance ceded (₹Crore),Reinsurance Premium Schedule|General
insurance life,1,102,,SINGLE,,c_life_insurance__inr,102,INR,(c ) Life Insurance (₹Crore),Shareholders Account|General
approved govt other securities state,1,99,,SINGLE,,state_govt_other_approved_securities__inr,99,INR,State Govt & Other Approved Securities (₹Crore),AUM — Insurer-wise (Investments)|Pension & General Annuity & Group Fun
actual during reported year,1,98,,SINGLE,,actual_reported_during_the_year__count,98,COUNT,Actual reported during the year (Nos.),Grievances (Life)|General
housing infrastructure investments,1,98,,SINGLE,,housing_infrastructure_investments__inr,98,INR,Housing & Infrastructure Investments (₹Crore),AUM — Insurer-wise (Investments)|Life Fund
life,1,95,,SINGLE,,life__inr,95,INR,Life (₹Crore),Segment-wise Reinsurance Premium Accepted|General
marine,1,95,,SINGLE,,marine__inr,95,INR,Marine (₹Crore),Segment-wise Reinsurance Premium Accepted|General
misc,1,95,,SINGLE,,misc__inr,95,INR,Misc. (₹Crore),Segment-wise Reinsurance Premium Accepted|General
motor,1,95,,SINGLE,,motor__inr,95,INR,Motor (₹Crore),Segment-wise Reinsurance Premium Accepted|General
fire,1,94,,SINGLE,,fire__inr,94,INR,Fire (₹Crore),Segment-wise Reinsurance Premium Accepted|General
health,1,94,,SINGLE,,health__inr,94,INR,Health (₹Crore),Segment-wise Reinsurance Premium Accepted|General
balance closing,1,62,,SINGLE,,closing_balance__count,62,COUNT,Closing Balance (Nos.),Grievances (General & Health)|General / Grievances (Life)|General
investment property reserve revaluation,1,30,,SINGLE,,revaluation_reserve_investment_property__inr,30,INR,Revaluation Reserve-Investment Property (₹Lakh),Balance Sheet|Policyholders’ Funds
balance c debit policyholders,1,28,,SINGLE,,debit_balance_in_policyholders_a_c__inr,28,INR,Debit Balance In Policyholders’ A/c (₹Lakh),Balance Sheet|Policyholders’ Funds
unclassified,1,24,,SINGLE,,unclassified__count,24,COUNT,Unclassified (Nos.),Offices by Region|General
break claims duration lives number pending up wi,1,21,,SINGLE,,break_up_of_claims_pending_duration_wise_number_of_lives__inr,21,INR,Break up of claims pending -- duration wise (Number of Lives) (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh)
lives number,1,21,,SINGLE,,number_of_lives__inr,21,INR,Number of Lives (₹Lakh),Micro-Insurance Death Claims - Group|Benefit Amount (₹Lakh)
claims lives number settlement,1,20,,SINGLE,,settlement_of_claims_number_of_lives__count,20,COUNT,Settlement of claims- Number of Lives (Nos.),Micro-Insurance Claim Settlement - Group|Settlement of claims- Benefit
gains loss unrealised,1,20,,SINGLE,,unrealised_gains_loss__inr,20,INR,Unrealised Gains/Loss (₹Lakh),Policyholders Account|Premiums earned – net
amount c from s shareholder transferred,1,17,,SINGLE,,amount_transferred_from_shareholder_s_a_c__inr,17,INR,Amount transferred from Shareholder's A/c (₹Lakh),Policyholders Account|Premiums earned – net
assets current,1,17,,SINGLE,,current_assets__inr,17,INR,CURRENT ASSETS (₹Crore),Balance Sheet|General / Balance Sheet|Policyholders’ Funds
balance balance sheet transferred,1,16,,SINGLE,,balance_transferred_to_balance_sheet__inr,16,INR,Balance transferred to Balance Sheet (₹Lakh),Policyholders Account|Premiums earned – net
account accounts from non shareholders technical,1,12,,SINGLE,,transfer_from_shareholders_account_non_technical_accounts__inr,12,INR,Transfer from shareholders’ Account(Non Technical Accounts) (₹Lakh),Policyholders Account|Premiums earned – net
claims number policies settlement,1,11,,SINGLE,,settlement_of_claims_number_of_policies__count,11,COUNT,Settlement of claims- Number of Policies (Nos.),Micro-Insurance Claim Settlement - Individual|Settlement of claims- Be
debenture h redemption reserve,1,11,,SINGLE,,h_debenture_redemption_reserve__inr,11,INR,(h) Debenture redemption reserve (₹Lakh),Shareholders Account|Income From Investments
break claims duration number pending policies up,1,10,,SINGLE,,break_up_of_claims_pending_duration_wise_number_of_policies__inr,10,INR,Break up of claims pending -- duration wise (Number of Policies) (₹Lak,Micro-Insurance Death Claims - Individual|Benefit Amount (₹Lakh)
current tax,1,10,,SINGLE,,current_tax__inr,10,INR,Current Tax (₹Crore),Shareholders Account|General
individual issued life new number policies,1,10,,SINGLE,,number_of_individual_new_policies_issued_life__number,10,NUMBER,Number Of Individual New Policies Issued (Life) (Lakhs),Life|All Classes
number policies,1,10,,SINGLE,,number_of_policies__inr,10,INR,Number of Policies (₹Lakh),Micro-Insurance Death Claims - Individual|Benefit Amount (₹Lakh)
other provisions taxation than,1,8,,SINGLE,,provisions_other_than_taxation__inr,8,INR,PROVISIONS (Other than taxation) (₹Crore),Shareholders Account|General / Shareholders Account|Income From Invest
appropriations balance being funds future previo,1,6,,SINGLE,,balance_being_funds_for_future_appropriations_previous_year__inr,6,INR,Balance being funds for future appropriations-Previous year (₹Lakh),Policyholders Account|Premiums earned – net
expenses other,1,6,,SINGLE,,other_expenses__inr,6,INR,OTHER EXPENSES (₹Crore),Shareholders Account|General
from income investments,1,6,,SINGLE,,income_from_investments__inr,6,INR,INCOME FROM INVESTMENTS (₹Crore),Shareholders Account|General
accepted amount reinsurance,1,5,,SINGLE,,c_amount_accepted_in_reinsurance__inr,5,INR,(c) Amount accepted in Reinsurance (₹Lakh),Policyholders Account|Premiums earned – net
accepted reinsurance,1,5,,SINGLE,,c_reinsurance_accepted__inr,5,INR,(c) Reinsurance accepted (₹Lakh),Policyholders Account|Premiums earned – net
appropriations,1,5,,SINGLE,,appropriations__inr,5,INR,APPROPRIATIONS (₹Crore),Shareholders Account|General
appropriations funds future lapsed link reserve ,1,4,,SINGLE,,funds_for_future_appropriations_reserve_for_lapsed_unit_link__inr,4,INR,Funds for future appropriations (Reserve for lapsed unit linked polici,Policyholders Account|Premiums earned – net
from fund lapsed linked policies transfer,1,4,,SINGLE,,transfer_from_linked_fund_lapsed_policies__inr,4,INR,Transfer from Linked Fund (Lapsed Policies) (₹Lakh),Policyholders Account|Premiums earned – net
account adjustment depreciation py,1,3,,SINGLE,,f_adjustment_on_account_of_depreciation_in_py__inr,3,INR,(f) Adjustment on account of depreciation in PY (₹Lakh),Shareholders Account|Income From Investments
application funds,1,2,,SINGLE,,application_of_funds__inr,2,INR,APPLICATION OF FUNDS (₹Crore),Balance Sheet|General
funds sources,1,2,,SINGLE,,sources_of_funds__inr,2,INR,SOURCES OF FUNDS (₹Crore),Balance Sheet|General
adjustment approved court done due g high scheme,1,1,,SINGLE,,g_adjustment_done_due_to_scheme_approved_by_high_court__inr,1,INR,(g) Adjustment done due to scheme approved by High Court (₹Lakh),Shareholders Account|Income From Investments
adjustment previous related year,1,1,,SINGLE,,adjustment_related_to_previous_year__inr,1,INR,Adjustment related to previous year (₹Lakh),Policyholders Account|Premiums earned – net
annuity business general linked,1,1,,SINGLE,,linked_general_annuity_business__inr,1,INR,Linked General annuity business (₹Crore),In-Force Sum Assured|Non Linked Life Business
annuity business general linked non,1,1,,SINGLE,,non_linked_general_annuity_business__inr,1,INR,Non Linked -General Annuity Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
business business life linked,1,1,,SINGLE,,linked_business_life_business__inr,1,INR,Linked Business - Life business (₹Crore),In-Force Sum Assured|Non Linked Life Business
business health linked,1,1,,SINGLE,,linked_health_business__inr,1,INR,Linked Health Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
business health linked non,1,1,,SINGLE,,non_linked_health_business__inr,1,INR,Non linked Health Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
business linked non pension,1,1,,SINGLE,,non_linked_pension_business__inr,1,INR,Non Linked - Pension Business (₹Crore),In-Force Sum Assured|Non Linked Life Business
expenses period prior,1,1,,SINGLE,,prior_period_expenses__inr,1,INR,Prior period expenses (₹Lakh),Shareholders Account|Income From Investments
